data_document_id,data_document_filename,doc_date,raw_category,raw_cas,raw_chem_name,cat_code,description_cpcat,cpcat_code,cpcat_sourcetype
1373306,2005 Fall Potatoes.pdf,May 2006,,,Azinphos-methyl,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Carbaryl,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Carbofuran,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Cyfluthrin,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Diazinon,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Dimethoate,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Endosulfan,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Esfenvalerate,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Ethoprop,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Imidacloprid,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Methamidophos,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Methomyl,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Novaluron,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Oxamyl,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Permethrin,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Phorate,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Phosmet,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Propargite,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Pymetrozine,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Spinosad,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Spiromesifen,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Thiamethoxam,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Azoxystrobin,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Boscalid,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Chlorothalonil,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Copper hydroxide,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Copper sulfate,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Cymoxanil,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Dimethomorph,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Famoxadone,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Fenamidone,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Fluazinam,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Flutolanil,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Iprodione,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Mancozeb,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Maneb,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Mefenoxam,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Metiram,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,PCNB,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Phosphorous acid,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Propamocarb hydroch.,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Pyraclostrobin,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Triphenyltin hydrox.,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Zoxamide,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Dichloropropene,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Diquat dibromide,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Maleic hydrazide,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Metam-potassium,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Metam-sodium,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Paraquat,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Pyrimethanil,,,,ACToR Assays and Lists
1373306,2005 Fall Potatoes.pdf,May 2006,,,Sulfuric Acid,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Nitrogen,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Phosphate,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Potash,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Sulfur,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,"2,4-D, 2-EHE",,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,"2,4-D, BEE",,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,"2,4-D, dieth sal",,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,"2,4-D, dimeth. salt",,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,"2,4-DB, dimeth. salt",,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Bromoxynil,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Bromoxynil heptanoat,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Bromoxynil octanoate,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Chlorsulfuron,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Clopyralid,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,"Dicamba, Digly Salt",,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,"Dicamba, Dimet. salt",,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Glyphosate iso. salt,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,"MCPA, 2-ethylhexyl",,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,"MCPA, dimethyl. salt",,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,"MCPA, sodium salt",,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Prosulfuron,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Thifensulfuron,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Tribenuron-methyl,,,,ACToR Assays and Lists
1373307,2005 Oats.pdf,May 2006,,,Lambda-cyhalothrin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Nitrogen,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Phosphate,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Potash,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Sulfur,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,"2,4-D, 2-EHE",,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,"2,4-D, dimeth. salt",,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Carfentrazone-ethyl,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Clethodim,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Clomazone,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,"Dicamba, Digly Salt",,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,"Dicamba, Dimet. salt",,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Diuron,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Flumioxazin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Fluometuron,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Glufosinate-ammonium,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Glyphosate,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Glyphosate amm. salt,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Glyphosate iso. salt,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Linuron,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,MSMA,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Metolachlor,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Oxyfluorfen,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Pendimethalin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Prometryn,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Pyraflufen-ethyl,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Pyrithiobac-sodium,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Quizalofop-P-ethyl,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,S-Metolachlor,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Sethoxydim,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Sulfosate,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Thifensulfuron,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Tribenuron-methyl,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Trifloxysulfuron-sod,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Trifluralin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Abamectin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Acephate,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Acetamiprid,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Aldicarb,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Benzoic acid,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Bifenthrin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Chlorpyrifos,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Cyfluthrin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Cypermethrin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Deltamethrin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Dicofol,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Dicrotophos,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Dimethoate,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Endosulfan,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Esfenvalerate,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Etoxazole,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Imidacloprid,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Indoxacarb,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Lambda-cyhalothrin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Malathion,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Methamidophos,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Methomyl,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Methyl parathion,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Naled,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Novaluron,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Oxamyl,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Permethrin,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Petroleum distillate,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Phorate,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Profenofos,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Propargite,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Spinosad,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Spiromesifen,,,,ACToR Assays and Lists
1373308,2005 Upland Cotton.pdf,May 2006,,,Thiamethoxam,,,,ACToR Assays and Lists
