ExtractedComposition_id,lower_wf_analysis,central_wf_analysis,upper_wf_analysis
5640149,,1.1e-05,
5629213,,0.0001286,
5601590,,0.0005198,
5656770,,1.5e-06,
5623662,,3.8e-05,
5612626,,4.19e-05,
5590554,,9.4e-06,
5645734,,5e-07,
5634698,,2.4e-06,
5607297,,3.5e-06,
5662477,,0.0,
5618333,,1.48e-05,
5596261,,5.44e-05,
5651441,,1.96e-05,
5640405,,2e-07,
5586888,,0.0002646,
5629124,,0.0001766,
5601501,,0.9016482,
5656681,,4.5e-06,
5623573,,2.36e-05,
5612537,,5e-07,
5590465,,0.0011103,
5645645,,7.8e-06,
5634609,,5.82e-05,
5607208,,5.5e-06,
5662388,,1.19e-05,
5618244,,1.6e-06,
5596172,,0.0003062,
5651352,,4.92e-05,
5640316,,0.0001213,
5629380,,2.34e-05,
5586799,,0.000297,
5587055,,1.5e-06,
5601412,,2.13e-05,
5656592,,2.63e-05,
5623484,,3.7e-06,
5612448,,4.66e-05,
5590376,,1.1e-06,
5645556,,3.9e-05,
5634520,,6e-07,
5607119,,0.002639,
5662299,,2e-07,
5618155,,0.0928963,
5596083,,0.0004276,
5651263,,4.29e-05,
5640227,,3e-07,
5629291,,0.1343097,
5601668,,0.162311,
5656848,,0.0,
5623740,,0.0,
5612704,,1.66e-05,
5590632,,8.7e-06,
5645812,,0.0005099,
5634776,,9.6e-06,
5586966,,2.11e-05,
5601323,,5.33e-05,
5656503,,0.00059,
5623395,,0.1035082,
5612359,,2e-06,
5590287,,8.9e-06,
5645467,,0.0002623,
5634431,,1e-07,
5607030,,3.6e-06,
5662210,,1e-06,
5618066,,3.2e-05,
5595994,,1.94e-05,
5651174,,5.6e-05,
5640138,,0.1359962,
5629202,,2.76e-05,
5601579,,0.0,
5656759,,1.3e-05,
5623651,,0.0002282,
5612615,,0.0006696,
5590543,,0.0003676,
5645723,,1.9e-06,
5634687,,2.01e-05,
5607286,,0.0001183,
5662466,,5.3e-05,
5618322,,5.69e-05,
5596250,,0.0006164,
5651430,,0.2214924,
5640394,,0.0,
5586877,,2.2e-06,
5629113,,1.44e-05,
5601490,,3.3e-06,
5656670,,0.0,
5623562,,0.0003402,
5612526,,3.27e-05,
5590454,,2e-07,
5645634,,3.9e-05,
5634598,,4.35e-05,
5607197,,1.43e-05,
5662377,,7e-06,
5618233,,9.2e-06,
5596161,,7.4e-06,
5651341,,0.2255546,
5640305,,2.42e-05,
5629369,,0.0003428,
5586788,,1.06e-05,
5587044,,0.0001405,
5601401,,0.0005582,
5656581,,1e-07,
5623473,,9.32e-05,
5612437,,0.1275684,
5590365,,3.68e-05,
5645545,,0.0002341,
5634509,,0.1646012,
5607108,,1.8e-06,
5662288,,6e-07,
5618144,,2e-07,
5596072,,6.2e-06,
5651252,,0.5433927,
5640216,,3.54e-05,
5629280,,1.93e-05,
5601657,,1.7e-06,
5656837,,1.5e-06,
5623729,,1e-07,
5612693,,0.0002599,
5590621,,0.000409,
5645801,,3e-07,
5634765,,0.1575529,
5607364,,4.8e-06,
5662544,,2.09e-05,
5618400,,1e-07,
5596328,,0.0007124,
5651508,,1.9e-06,
5640472,,0.0003426,
5586955,,0.0005423,
5607019,,3.65e-05,
5662199,,0.0001107,
5618055,,0.0002672,
5595983,,0.0001411,
5651163,,7e-07,
5640127,,6.4e-06,
5629191,,0.0001002,
5601568,,2.3e-06,
5656748,,4.66e-05,
5623640,,4e-07,
5612604,,5.4e-06,
5590532,,8e-07,
5645712,,8.7e-06,
5634676,,2e-07,
5607275,,0.0006883,
5662455,,0.0,
5618311,,1e-07,
5596239,,2.63e-05,
5651419,,1.5e-06,
5640383,,0.1134833,
5586866,,0.0001859,
5629102,,0.0034047,
5601479,,3.24e-05,
5656659,,1e-07,
5623551,,0.0,
5612515,,0.1427377,
5590443,,1.1e-06,
5645623,,0.0003874,
5634587,,2.73e-05,
5607186,,8.94e-05,
5662366,,0.0002892,
5618222,,6.42e-05,
5596150,,7.84e-05,
5651330,,1.7e-06,
5640294,,1.8e-06,
5629358,,2.1e-06,
5586777,,0.00031,
5587033,,2.9e-06,
5601390,,0.0,
5656570,,4.1e-06,
5623462,,4e-06,
5612426,,1e-06,
5590354,,0.0006219,
5645534,,1e-07,
5634498,,0.0001165,
5607097,,4.25e-05,
5662277,,3.4e-06,
5618133,,4.4e-06,
5596061,,6.22e-05,
5651241,,3.2e-06,
5640205,,1e-06,
5629269,,0.0001239,
5601646,,5.3e-05,
5656826,,1.45e-05,
5623718,,7e-07,
5612682,,0.086216,
5590610,,4e-07,
5645790,,2e-06,
5634754,,1.72e-05,
5607353,,3.18e-05,
5662533,,0.0002463,
5618389,,7e-07,
5596317,,5.72e-05,
5651497,,5.24e-05,
5640461,,1.1e-06,
5586944,,1.91e-05,
5629180,,3.1e-06,
5601557,,6.15e-05,
5656737,,1e-07,
5623629,,2.7e-06,
5612593,,8.07e-05,
5590521,,9.7e-06,
5645701,,4.94e-05,
5634665,,4.3e-06,
5607264,,0.0006946,
5662444,,5.69e-05,
5618300,,5e-07,
5596228,,1.4e-06,
5651408,,5.64e-05,
5640372,,5e-06,
5629436,,0.0018456,
5586855,,2.2e-06,
5629091,,1.1e-06,
5601468,,0.1637902,
5656648,,4.3e-06,
5623540,,1e-07,
5612504,,8e-07,
5590432,,0.000222,
5645612,,8e-07,
5634576,,9.7e-06,
5607175,,3e-07,
5662355,,0.001229,
5618211,,1e-06,
5596139,,0.2390936,
5651319,,4.12e-05,
5640283,,6.82e-05,
5629347,,8.3e-06,
5586766,,1.03e-05,
5587022,,0.242891,
5601379,,5.3e-06,
5656559,,0.0,
5623451,,0.0001035,
5612415,,5.7e-06,
5590343,,0.0014512,
5645523,,2.1e-06,
5634487,,2.44e-05,
5607086,,1e-07,
5662266,,3.97e-05,
5618122,,0.0002673,
5596050,,0.0005336,
5651230,,0.0001668,
5640194,,3.16e-05,
5629258,,5.15e-05,
5601635,,0.0007854,
5656815,,0.0001626,
5623707,,1.16e-05,
5612671,,2.7e-06,
5590599,,9.7e-05,
5645779,,0.0001515,
5634743,,0.0,
5607342,,0.9951907,
5662522,,0.0,
5618378,,3.69e-05,
5596306,,0.0003444,
5651486,,0.530581,
5640450,,7e-05,
5586933,,6e-07,
5629169,,1.45e-05,
5601546,,0.8795511,
5656726,,1.4e-06,
5623618,,2.69e-05,
5612582,,0.9410111,
5590510,,0.0001284,
5645690,,0.0003076,
5634654,,0.000128,
5607253,,2.3e-05,
5662433,,1e-07,
5618289,,1.2e-06,
5596217,,9.38e-05,
5651397,,6e-07,
5640361,,4e-07,
5629425,,9.7e-06,
5586844,,0.0001575,
5601457,,1.9e-06,
5656637,,2.5e-05,
5623529,,6e-07,
5612493,,2.34e-05,
5590421,,1e-07,
5645601,,2.15e-05,
5634565,,3e-07,
5607164,,4.6e-06,
5662344,,2.48e-05,
5618200,,2.28e-05,
5596128,,0.0003204,
5651308,,1.7e-06,
5640272,,2e-07,
5629336,,6.19e-05,
5586755,,0.0002592,
5587011,,0.0001187,
5601368,,0.0002068,
5656548,,3.7e-06,
5623440,,2.2e-06,
5612404,,2.68e-05,
5590332,,5e-07,
5645512,,9.9e-06,
5634476,,4e-07,
5607075,,4e-07,
5662255,,0.0002148,
5618111,,5e-07,
5596039,,7e-06,
5651219,,4e-07,
5640183,,7e-07,
5629247,,0.0002533,
5601624,,0.0,
5656804,,7e-07,
5623696,,0.0001886,
5612660,,7.33e-05,
5590588,,5e-07,
5645768,,0.0005042,
5634732,,1.9e-06,
5607331,,1.2e-06,
5662511,,2.7e-06,
5618367,,0.8743751,
5596295,,6.6e-06,
5651475,,3e-06,
5640439,,0.0028233,
5586922,,0.0003755,
5629158,,3.9e-05,
5601535,,1.31e-05,
5656715,,9e-06,
5623607,,0.0003346,
5612571,,6e-07,
5590499,,0.0063011,
5645679,,5.12e-05,
5634643,,7e-07,
5607242,,0.0002118,
5662422,,2.59e-05,
5618278,,1.68e-05,
5596206,,0.0971255,
5651386,,6.7e-06,
5640350,,1.11e-05,
5629414,,5.35e-05,
5586833,,2.1e-06,
5601446,,2.84e-05,
5656626,,0.8669275,
5623518,,1.23e-05,
5612482,,0.0002378,
5590410,,9e-07,
5645590,,0.8801928,
5634554,,3.72e-05,
5607153,,0.0005949,
5662333,,5e-07,
5618189,,0.0001461,
5596117,,5.4e-06,
5651297,,1.16e-05,
5640261,,7.1e-06,
5629325,,1e-07,
5586744,,5.24e-05,
5587000,,2.53e-05,
5601357,,1e-07,
5656537,,0.8664914,
5623429,,0.000119,
5612393,,6.44e-05,
5590321,,5.4e-06,
5645501,,5.02e-05,
5634465,,0.0001178,
5607064,,6.5e-06,
5662244,,3e-07,
5618100,,2.58e-05,
5596028,,8.64e-05,
5651208,,9.5e-06,
5640172,,3.41e-05,
5629236,,0.0042052,
5601613,,3e-07,
5656793,,4.44e-05,
5623685,,1e-07,
5612649,,0.0010429,
5590577,,7.83e-05,
5645757,,0.0699719,
5634721,,1.83e-05,
5607320,,2.09e-05,
5662500,,1.35e-05,
5618356,,2e-07,
5596284,,8.72e-05,
5651464,,9.98e-05,
5640428,,3.1e-05,
5586911,,6.51e-05,
5629147,,0.1258448,
5601524,,1e-07,
5656704,,3.75e-05,
5623596,,4e-07,
5612560,,2e-05,
5590488,,3e-07,
5645668,,0.0,
5634632,,0.0002064,
5607231,,1e-07,
5662411,,2e-07,
5618267,,0.9978317,
5596195,,3.02e-05,
5651375,,0.000225,
5640339,,0.000292,
5629403,,1e-07,
5586822,,0.000154,
5587078,,0.0001391,
5601435,,0.0002786,
5656615,,1e-07,
5623507,,0.0001659,
5612471,,2e-07,
5590399,,3.71e-05,
5645579,,1.8e-06,
5634543,,9.8e-06,
5607142,,2.25e-05,
5662322,,4.38e-05,
5618178,,2.57e-05,
5596106,,0.00011,
5651286,,0.0002435,
5640250,,2e-07,
5629314,,4e-06,
5586733,,1.4e-06,
5586989,,1.7e-06,
5601346,,1.95e-05,
5656526,,2.88e-05,
5623418,,2.3e-06,
5612382,,0.0003437,
5590310,,4.86e-05,
5645490,,0.0004134,
5634454,,1.04e-05,
5607053,,0.0005852,
5662233,,1.67e-05,
5618089,,0.0001116,
5596017,,0.926391,
5651197,,0.0022449,
5640161,,0.0,
5629225,,6e-07,
5601602,,1.14e-05,
5656782,,0.0,
5623674,,7e-07,
5612638,,2.5e-06,
5590566,,0.8102489,
5645746,,0.0387408,
5634710,,0.0,
5607309,,0.0,
5662489,,0.0001623,
5618345,,2.2e-06,
5596273,,0.0007211,
5651453,,5e-07,
5640417,,3.2e-06,
5586900,,2.3e-06,
5629136,,8.9e-06,
5601513,,2.18e-05,
5656693,,2e-07,
5623585,,2.7e-06,
5612549,,0.0002414,
5590477,,9e-06,
5645657,,1.5e-06,
5634621,,5.83e-05,
5607220,,7e-07,
5662400,,3.29e-05,
5618256,,2e-07,
5596184,,2.9e-06,
5651364,,1.9e-06,
5640328,,4e-07,
5629392,,3.5e-06,
5586811,,2e-06,
5587067,,4.94e-05,
5601424,,4e-07,
5656604,,2.1e-06,
5623496,,1e-07,
5612460,,2.4e-06,
5590388,,1e-07,
5645568,,7.8e-06,
5634532,,8.9e-06,
5607131,,0.0003095,
5662311,,0.0,
5618167,,0.0,
5596095,,0.3095964,
5651275,,1.4e-06,
5640239,,7.1e-06,
5629303,,2.28e-05,
5586978,,0.0016823,
5601335,,0.0004638,
5656515,,1.4e-06,
5623407,,1.2e-06,
5612371,,1e-07,
5590299,,0.0003315,
5645479,,4.72e-05,
5634443,,3e-07,
5607042,,1.1e-06,
5662222,,0.000841,
5618078,,3e-07,
5596006,,0.001812,
5651186,,1.5e-06,
5640150,,1.1e-05,
5629214,,8.66e-05,
5601591,,0.0002622,
5656771,,1e-06,
5623663,,1.2e-05,
5612627,,2.7e-05,
5590555,,8.4e-06,
5645735,,5e-07,
5634699,,1.9e-06,
5607298,,3.5e-06,
5662478,,0.0,
5618334,,8.9e-06,
5596262,,5.28e-05,
5651442,,7.9e-06,
5640406,,0.0,
5586889,,0.0001626,
5629125,,0.0001009,
5601502,,0.096973,
5656682,,4.4e-06,
5623574,,2.27e-05,
5612538,,5e-07,
5590466,,0.0002291,
5645646,,6.7e-06,
5634610,,4.33e-05,
5607209,,4.5e-06,
5662389,,8.5e-06,
5618245,,1.6e-06,
5596173,,0.0001653,
5651353,,4.92e-05,
5640317,,1.63e-05,
5629381,,1.85e-05,
5586800,,0.0001485,
5587056,,1.4e-06,
5601413,,2.13e-05,
5656593,,2.22e-05,
5623485,,2.6e-06,
5612449,,4.55e-05,
5590377,,1.1e-06,
5645557,,3.17e-05,
5634521,,3e-07,
5607120,,0.0022169,
5662300,,1e-07,
5618156,,0.0005669,
5596084,,0.0001967,
5651264,,3.1e-05,
5640228,,3e-07,
5629292,,0.0003191,
5601669,,0.001015,
5656849,,0.8647662,
5623741,,0.0,
5612705,,8.9e-06,
5590633,,6.9e-06,
5645813,,0.0005099,
5634777,,4.4e-06,
5586967,,1.15e-05,
5601324,,0.8239019,
5656504,,0.000696,
5623396,,0.0008356,
5612360,,2e-06,
5590288,,8.4e-06,
5645468,,8.84e-05,
5634432,,0.8241626,
5607031,,3.3e-06,
5662211,,9e-07,
5618067,,2.5e-05,
